Table_name,Table_Present,Path,Size_MB,Size_GB,SIZE
amountcopayment,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/amountcopayment/CurrentRecordIndicator=true/,3564.605919,3.48106,3564.61MB
amountdenied,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/amountdenied/CurrentRecordIndicator=true/,2386.673976,2.330736,2386.67MB
amountdiscount,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/amountdiscount/CurrentRecordIndicator=true/,3643.348155,3.557957,3643.35MB
amounttax,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/amounttax/CurrentRecordIndicator=true/,305.99598,0.298824,306MB
banking,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/banking/CurrentRecordIndicator=true/,734.986383,0.71776,734.99MB
claimexternalinvoice,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/claimexternalinvoice/CurrentRecordIndicator=true/,3107.024651,3.034204,3107.02MB
claiminvoice,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/claiminvoice/CurrentRecordIndicator=true/,12754.02261,12.4551,12754.02MB
claimline,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/claimline/CurrentRecordIndicator=true/,25151.9731,24.562474,25151.97MB
claimpayment,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/claimpayment/CurrentRecordIndicator=true/,9233.41851,9.01701,9233.42MB
claimrecovery,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/claimrecovery/CurrentRecordIndicator=true/,124.821008,0.121896,124.82MB
claimsubmission,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/claimsubmission/CurrentRecordIndicator=true/,4746.677809,4.635428,4746.68MB
countryofresidence,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/countryofresidence/CurrentRecordIndicator=true/,683.072601,0.667063,683.07MB
customer,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/customer/CurrentRecordIndicator=true/,464.449288,0.453564,464.45MB
detailtransaction,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/detailtransaction/CurrentRecordIndicator=true/,30864.36231,30.140979,30864.36MB
diagnosisclaim,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/diagnosisclaim/CurrentRecordIndicator=true/,14087.04782,13.756883,14087.05MB
familyunit,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/familyunit/CurrentRecordIndicator=true/,206.54752,0.201707,206.55MB
invoicepayment,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/invoicepayment/CurrentRecordIndicator=true/,7513.831799,7.337726,7513.83MB
invoicerecovery,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/invoicerecovery/CurrentRecordIndicator=true/,97.594455,0.095307,97.59MB
member,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/member/CurrentRecordIndicator=true/,539.874137,0.527221,539.87MB
nationality,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/nationality/CurrentRecordIndicator=true/,262.585196,0.256431,262.59MB
party,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/party/CurrentRecordIndicator=true/,992.271219,0.969015,992.27MB
plan,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/plan/CurrentRecordIndicator=true/,128.998983,0.125976,129MB
policy,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/policy/CurrentRecordIndicator=true/,103.094675,0.100678,103.09MB
provider,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/provider/CurrentRecordIndicator=true/,496.611079,0.484972,496.61MB
reason,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/reason/CurrentRecordIndicator=true/,29483.23593,28.792223,29483.24MB
eligibility,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/eligibility/CurrentRecordIndicator=true/,16974.7957,16.576949,16974.8MB
groupcoverage,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/groupcoverage/CurrentRecordIndicator=true/,7020.116826,6.855583,7020.12MB
membercoverage,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/membercoverage/CurrentRecordIndicator=true/,23933.38263,23.372444,23933.38MB
partyaddress,Yes,s3://intl-euro-uk-data-prod/refined/ids/ids/partyaddress/CurrentRecordIndicator=true/,1221.002686,1.192385,1221MB
